Продукт;Белки;Жиры;Углеводы;Каллории
Масло сливочное;0.5;78.0;0.7;709.0
Масло сливочное "Валио";0.7;82.0;0.7;740.0
Масло топленое;0.2;99.0;0.0;892.0
Масло шоколадное;1.5;62.0;18.6;642.0
Масло оливковое;0.0;99.8;0.0;898.0
Масло подсолнечное;0.0;99.9;0.0;899.0
Маргарин;0.3;82.0;0.5;743.0
Спред;0.0;40.0;0.0;360.0
Майонез;1.4;47.0;2.6;450.0
Майонез легкий;0.3;8.0;1.9;110.0
Жир говяжий, свиной, бараний топленые;0.0;99.7;0.0;897.0
Жир кулинарный, кондитерский;0.0;99.7;0.0;897.0
Жир рыбий;0.0;100.0;0.0;902.0
Сало;2.4;89.0;0.0;797.0
Шпик;1.4;92.8;0.0;841.0
