Продукт;Белки;Жиры;Углеводы;Каллории
Молоко коровье нежирное;3.0;0.05;4.9;32.0
Молоко 1,5% жирности;3.0;1.5;4.8;45.0
Молоко 2,5%;2.9;2.5;4.8;54.0
Молоко 3,2%;2.9;3.2;4.7;60.0
Сливки 10%;2.7;10.0;4.4;119.0
Сливки 20%;2.5;20.0;4.0;205.0
Творог нежирный;22.0;0.6;3.3;110.0
Творог 5%;21.0;5.0;3.0;145.0
Творог 9%;18.0;9.0;3.0;169.0
Творог 18%;15.0;18.0;2.8;236.0
Сметана 10%;2.7;10.0;3.9;119.0
Сметана 20%;2.5;20.0;3.4;206.0
Сметана 30%;2.3;30.0;3.1;293.0
Кефир нежирный;3.0;0.05;4.0;31.0
Кефир 1%;3.0;1.0;4.0;40.0
Кефир 2,5%;2.9;2.5;4.0;53.0
Кефир 3,2%;2.9;3.2;4.0;59.0
Брынза из коровьего молока;22.1;19.2;0.4;262.0
Сыр "Адыгейский";19.8;19.8;1.5;264.0
Сыр "Гауда";25.0;27.0;2.0;356.0
Сыр "Голландский" брусковый;26.0;26.8;0.0;352.0
Сыр "Голландский" круглый;23.7;30.4;0.0;375.0
Сыр "Ламбер";23.7;30.5;0.0;377.0
Сыр "Ламбер" сливочный;23.7;32.5;0.0;395.0
Сыр "Маасдам";23.5;26.0;0.0;350.0
Сыр моцарелла из цельного молока;22.2;22.3;2.2;300.0
Сыр "Пармезан";37.8;27.3;3.4;415.0
Сыр "Российский";23.2;29.5;0.0;364.0
Сыр рикотта из цельного молока;11.3;13.0;3.0;174.0
Сулугуни;20.5;22.0;0.4;286.0
Сыр "Тильзитер";24.4;26.0;1.9;340.0
Сыр "Фета";14.2;21.3;4.0;264.0
Сыр "Эдам";25.0;27.8;1.4;357.0
Сыр плавленый;16.8;11.2;23.8;257.0
Сыр "Viola";11.0;28.0;2.0;305.0
Йогурт "Активиа" разных видов;3.8;2.9;14.0;97.0
Йогурт греческий;5.0;3.2;3.5;66.0
"Actimel" разных видов;2.7;15.0;10.5;71.0
