Продукт;Белки;Жиры;Углеводы;Каллории
Говядина 1 категории;18.6;16.0;0.0;218.0
Говядина 2 категории;20.0;9.8;0.0;168.0
Говядина, вырезка;22.2;7.1;0.0;158.0
Телятина 1 категории;19.7;2.0;0.0;97.0
Свинина жирная;11.7;49.3;0.0;491.0
Свинина мясная;14.3;33.3;0.0;357.0
Свинина, вырезка;19.4;7.1;0.0;142.0
Баранина 1 категории;15.6;16.3;0.0;209.0
Баранина 2 категории;19.8;9.6;0.0;166.0
Конина;20.2;7.0;0.0;187.0
Язык говяжий;16.0;12.1;2.2;173.0
Язык свиной;15.9;16.0;2.1;208.0
Печень говяжья;17.9;3.7;5.3;127.0
Печень свиная;18.8;3.8;4.7;109.0
Сердце говяжье;16.0;3.5;2.0;96.0
Почки говяжьи;15.2;2.8;1.9;86.0
Вымя;12.3;13.7;0.0;173.0
Бройлеры (цыплята) 1 кат.;18.7;16.1;0.0;220.0
Бройлеры (цыплята) 2 кат.;19.7;11.2;0.0;180.0
Курица 1 кат.;18.2;18.4;0.0;238.0
Курица 2 кат.;21.2;8.2;0.0;159.0
Куриная грудка;23.6;1.9;0.0;113.0
Куриные окорочка;16.8;10.2;0.0;158.0
Куриная печень;19.1;6.3;0.6;136.0
Куриное сердце;15.8;10.3;0.8;159.0
Индейка;19.5;22.0;0.0;276.0
Индейка, грудка;23.6;1.5;0.0;114.0
Индейка, фарш;20.0;8.0;0.5;161.0
Гусь домашний, мясо и кожа;15.2;33.6;0.0;371.0
Гусь домашний, мясо;22.7;7.1;0.0;161.0
Перепел, мясо и кожа;19.6;12.0;0.0;192.0
Утка домашняя, мясо и кожа;15.8;38.0;0.0;405.0
Утка дикая, мясо и кожа;17.4;15.2;0.0;211.0
Утка дикая, мясо;19.8;4.3;0.0;123.0
Страусиное мясо;21.8;2.3;0.0;114.0
Фазан, мясо и кожа;22.7;9.3;0.0;181.0
Фазан, грудка;24.3;3.2;0.0;133.0
Кролик;21.2;11.0;0.0;183.0
Кабан;21.5;3.3;0.0;122.0
Лось;23.0;1.5;0.0;111.0
Оленина;19.5;8.5;0.0;155.0
