Продукт;Белки;Жиры;Углеводы;Каллории
Вермут Cinzano, Martini;0.0;0.0;14.5;138.0
Вина виноградные сухие белые и красные, в. т. ч. игристые;0.0;0.0;0.1;56.0
Вина виноградные полусухие белые и красные, в. т. ч. игристые;0.3;0.0;2.5;78.0
Вина виноградные полусладкие белые и красные, в. т. ч. игристые;0.2;0.0;5.0;88.0
Вина виноградные сладкие белые и красные, в. т.ч. игристые;0.2;0.0;8.0;100.0
Вина виноградные крепкие;0.4;0.0;12.0;163.0
Вина виноградные ликерные;0.5;0.0;30.0;212.0
Виски;0.0;0.0;0.4;235.0
Водка;0.0;0.0;0.4;235.0
Джин;0.0;0.0;0.0;230.0
Джин-тоник;0.0;0.0;6.7;78.0
Кагор;0.0;0.0;16.0;147.0
Коньяк;0.0;0.0;0.1;239.0
Ликер Amaretto;0.0;0.0;35.0;280.0
Ликер Baileys;3.0;13.0;25.0;327.0
Ликер "Куантро";0.0;0.0;20.0;197.0
Ликер "Калуа";0.6;0.7;41.7;291.0
Ликер "Малибу";0.0;0.0;20.0;197.0
Пиво светлое легкое;0.3;0.0;4.6;42.0
Пиво темное легкое;0.3;0.0;5.7;48.0
Портвейн;0.4;0.0;12.0;163.0
Ром;0.0;0.0;0.0;220.0
Саке;0.5;0.0;5.0;134.0
Самогон;0.1;0.1;0.4;235.0
Спирт этиловый 96%;4.0;0.0;3.8;710.0
Текила;1.4;0.3;24.0;231.0
Чача;0.1;0.1;0.5;225.0
