Продукт;Белки;Жиры;Углеводы;Каллории
Сахар-песок;0.0;0.0;99.8;399.0
Сахар-рафинад;0.0;0.0;99.9;400.0
Сахар тростниковый;0.0;0.0;99.7;394.0
Варенье вишневое;0.0;0.0;64.0;256.0
Варенье клубничное;0.3;0.0;74.0;282.0
Варенье малиновое;0.6;0.0;70.4;270.0
Варенье сливовое;0.7;0.0;74.6;283.0
Варенье черничное;0.4;0.0;51.6;211.0
Варенье из черной смородины;0.6;0.0;72.9;282.0
Варенье яблочное;0.4;0.0;68.7;260.0
Вафли;3.2;2.8;52.0;342.0
Галеты;11.0;1.5;75.0;360.0
Зефир;0.7;0.0;78.3;299.0
Зефир в шоколаде;2.0;10.0;70.0;365.0
Какао-порошок;24.3;15.0;10.2;289.0
Карамель;0.0;0.0;91.2;371.0
Кекс с изюмом;6.4;17.6;53.6;384.0
Козинак из семян подсолнечника;14.8;42.6;34.5;576.0
Конфеты "Белочка";8.8;33.1;53.4;538.0
Конфеты "Коровка";2.7;4.4;82.4;351.0
Крахмал картофельный;0.1;0.0;79.6;299.0
Круассаны;5.5;19.7;42.0;380.0
Мармелад;0.0;0.1;77.7;296.0
Мед натуральный;0.8;0.0;80.3;308.0
Молоко сгущенное с сахаром 8,5%, Беларусь;7.2;8.5;56.0;329.0
Мороженое молочное;3.2;3.5;21.3;126.0
Мороженое пломбир;3.2;15.0;20.8;227.0
Нуга;6.0;11.0;60.0;405.0
Пастила;0.5;0.0;80.4;305.0
Печенье;7.4;5.2;75.0;376.0
Печенье овсяное;6.5;14.4;71.8;437.0
Пирожные;1.0;9.2;42.0;370.0
Повидло;0.1;0.1;57.0;215.0
Пряники Тульские;5.5;6.5;68.0;360.0
Рахат-лукум;0.0;0.0;79.0;310.0
Торт медовый;5.4;26.0;42.0;430.0
Торт "Наполеон";5.9;33.0;23.0;410.0
Торт "Полет";5.7;24.8;55.4;456.0
Торт "Прага";4.6;24.0;42.0;410.0
Торт "Сказка";4.3;17.1;46.9;351.0
Торт сметанно-ореховый;2.9;13.5;35.3;275.0
Халва подсолнечная;11.6;29.7;54.0;516.0
Чак-чак;8.6;1.9;77.9;363.0
Шоколадный батончик "Сникерс";9.3;27.9;54.6;507.0
Шоколад горький;8.0;36.0;46.8;540.0
Шоколад молочный;6.9;35.7;54.4;550.0
