Продукт;Белки;Жиры;Углеводы;Каллории
Арбуз;0.6;0.1;5.8;27.0
Абрикосы;0.9;0.1;9.0;44.0
Авокадо;2.0;14.6;8.5;160.0
Айва;0.6;0.5;9.6;48.0
Алыча;0.2;0.1;7.9;34.0
Ананас;0.4;0.2;11.5;52.0
Апельсины;0.9;0.2;8.1;43.0
Банан;1.5;0.5;21.0;96.0
Виноград;0.6;0.6;15.4;72.0
Вишня;0.8;0.2;10.6;52.0
Гранат;0.7;0.6;14.5;72.0
Грейпфрут;0.7;0.2;6.5;35.0
Груша;0.4;0.3;10.3;47.0
Дуриан;1.5;5.3;23.3;147.0
Дыня;0.6;0.3;7.4;35.0
Инжир свежий;0.7;0.2;12.0;54.0
Киви;0.8;0.4;8.1;47.0
Кумкват;1.9;0.9;13.4;71.0
Лимон;0.9;0.1;3.0;34.0
Личи;0.8;0.4;15.2;66.0
Манго;0.8;0.4;13.4;60.0
Мандарины;0.8;0.2;7.5;38.0
Маракуйя;2.4;0.4;13.4;68.0
Нектарин;1.1;0.3;9.0;44.0
Папайя;0.5;0.26;9.1;43.0
Персик;0.9;0.1;9.5;45.0
Помело;0.8;0.04;8.6;38.0
Слива;0.8;0.3;9.6;49.0
Терн;1.5;0.3;9.4;54.0
Фейхоа;0.7;0.4;8.8;61.0
Хурма;0.5;0.4;15.3;67.0
Черешня;1.1;0.4;10.6;52.0
Яблоки;0.4;0.4;9.8;47.0
Брусника;0.7;0.5;8.2;46.0
Голубика;1.0;0.5;6.6;39.0
Ежевика;1.5;0.5;4.4;34.0
Клубника;0.8;0.4;7.5;41.0
Клюква;0.5;0.2;3.7;28.0
Крыжовник;0.7;0.2;9.1;45.0
Малина;0.8;0.5;8.3;46.0
Морошка;0.8;0.9;7.4;40.0
Облепиха;1.2;5.4;5.7;82.0
Смородина белая;0.5;0.2;8.0;42.0
Смородина красная;0.6;0.2;7.7;43.0
Смородина черная;1.0;0.4;7.3;44.0
Черника;1.1;0.6;7.6;44.0
Шиповник свежий;1.6;0.7;22.4;109.0
Шиповник сухой;3.4;1.4;48.3;284.0
