Продукт;Белки;Жиры;Углеводы;Каллории
Колбаса вареная "Диетическая";12.1;13.5;0.0;170.0
Колбаса вареная "Докторская";12.8;22.2;1.5;257.0
Колбаса вареная "Любительская";12.2;28.0;0.1;301.0
Колбаса вареная "Молочная";11.7;22.8;0.2;252.0
Колбаса вареная "Московская";11.5;21.8;2.0;250.0
Колбаса вареная "Русская";11.5;27.9;1.7;302.0
Колбаса варено-копченая "Московская";19.1;36.6;0.2;406.0
Колбаса варено-копченая "Сервелат";16.1;40.1;0.0;425.0
Колбаса полукопченая "Краковская";16.2;44.6;0.0;466.0
Колбаса полукопченая "Одесская";14.8;38.1;0.3;402.0
Колбаса сырокопченая "Брауншвейгская";27.7;42.2;0.2;491.0
Колбаса сырокопченая "Московская";24.8;41.5;0.0;473.0
Колбаса сырокопченая свиная;13.0;57.0;0.2;566.0
Колбаса сырокопченая "Зернистая";9.9;62.8;0.3;606.0
Колбаса ливерная;14.4;28.5;2.2;326.0
Грудинка сырокопченая;8.9;63.3;0.0;605.0
Корейка сырокопченая;10.5;47.4;0.0;469.0
Ветчина рубленая;16.3;20.7;1.8;263.0
Сосиски "Молочные";11.0;23.9;0.4;261.0
Сосиски "Молочные" говяжьи;10.4;20.1;0.8;226.0
Сосиски "Молочные" свиные;9.5;34.3;0.0;342.0
Сосиски "Молочные" куриные;10.8;22.4;4.2;259.0
Сардельки говяжьи;11.4;18.2;1.3;215.0
Сардельки свиные;10.1;31.6;1.8;322.0
Шпикачки;10.0;33.0;0.0;337.0
Говядина тушеная консервированная;16.8;17.0;0.2;220.0
Свинина тушеная консервированная;14.9;32.2;0.2;349.0
