Продукт;Белки;Жиры;Углеводы;Каллории
Артишок;1.2;0.1;6.0;28.0
Базилик;2.5;0.6;4.3;27.0
Баклажаны;1.2;0.1;4.5;24.0
Батат (сладкий картофель);1.6;0.05;17.1;86.0
Батат отварной без кожуры;1.4;0.14;15.2;76.0
Брюква;1.2;0.1;7.7;37.0
Горчица листовая;2.9;0.4;1.5;27.0
Дайкон;1.2;0.0;4.1;21.0
Имбирь, корень сырой;1.8;0.75;15.8;80.0
Кабачки;0.6;0.3;4.6;24.0
Капуста белокочанная;1.8;0.1;4.7;28.0
Капуста квашеная;1.8;0.1;3.0;23.0
Капуста вареная;1.4;0.1;4.2;24.0
Капуста брокколи;2.8;0.37;6.6;34.0
Капуста брокколи вареная;2.38;0.4;7.18;35.0
Капуста брокколизамороженная, вареная;3.1;0.12;5.35;28.0
Капуста брюссельская;3.4;0.3;8.9;43.0
Капуста брюссельскаязамороженная, вареная;3.6;0.4;8.3;42.0
Капуста кольраби;2.8;0.1;7.9;44.0
Капуста краснокочанная;0.8;0.2;5.1;26.0
Капуста пекинская;1.2;0.2;2.0;16.0
Капуста савойская;1.2;0.1;5.6;28.0
Капуста цветная;2.5;0.3;4.2;30.0
Капуста листовая кале (кейл, Kale);2.8;0.6;6.6;42.0
Капуста листовая коллардс(Collards);3.0;0.6;1.4;32.0
Картофель;2.0;0.4;16.3;77.0
Картофель отварной;2.0;0.4;15.8;75.0
Кресс-салат;2.3;0.1;0.8;11.0
Кукуруза сырая;3.3;1.35;16.7;86.0
Лук зеленый;1.3;0.1;3.2;20.0
Лук репчатый;1.4;0.2;8.2;41.0
Лук репчатый красный;1.4;0.1;9.1;42.0
Лук порей;2.0;0.2;6.3;36.0
Мангольд;1.8;0.2;2.1;19.0
Морковь;1.3;0.1;6.9;35.0
Морковь отварная;1.3;0.1;6.4;33.0
Огурцы грунтовые;0.8;0.1;2.5;14.0
Огурцы тепличные;0.7;0.1;1.9;11.0
Огурцы соленые;0.8;0.1;1.7;13.0
Пастернак корень;1.4;0.5;9.2;47.0
Патиссон;0.6;0.1;4.1;19.0
Перец сладкий;1.3;0.1;4.9;26.0
Петрушка зелень;3.7;0.4;7.6;49.0
Петрушка корень;1.5;0.6;10.1;51.0
Помидоры грунтовые;1.1;0.2;3.8;24.0
Помидоры тепличные;0.9;0.1;2.9;17.0
Помидоры черри;0.8;0.1;2.8;15.0
Помидоры соленые;0.5;0.1;1.6;10.0
Редис;1.2;0.1;3.4;20.0
Редька зеленая;2.0;0.2;5.6;32.0
Редька черная;1.9;0.2;6.7;36.0
Репа;1.5;0.1;6.2;32.0
Розмарин свежий;3.3;5.9;17.6;131.0
Руккола;2.6;0.7;2.1;25.0
Салат листовой;1.5;0.2;2.0;16.0
Свекла;1.5;0.1;8.8;42.0
Свекла отварная;1.8;0.1;9.8;48.0
Сельдерей зелень;0.9;0.1;2.1;13.0
Сельдерей корень;1.3;0.3;6.5;37.0
Спаржа;1.9;0.1;3.1;21.0
Тимьян свежий;5.6;1.7;15.9;101.0
Топинамбур;2.1;0.1;12.8;61.0
Тыква;1.0;0.1;4.4;23.0
Тыква отварная;1.2;0.1;4.9;26.0
Укроп;2.5;0.5;6.3;40.0
Хрен;3.2;0.4;10.5;59.0
Цуккини;1.2;0.2;2.7;17.0
Чеснок;6.5;0.5;29.9;149.0
Шпинат;2.9;0.3;2.0;23.0
Щавель;1.5;0.3;2.9;22.0
Водоросли вакаме (ундария перистая) сырые;3.0;0.64;9.3;45.0
Ламинария (морская капуста) сырая;1.7;0.56;8.9;43.0
Ламинария (морская капуста) сушеная;31.5;21.8;38.1;476.0
Спирулина сушеная;57.5;7.72;23.4;290.0
Грибы белые свежие;3.7;1.7;1.1;34.0
Грибы белые сушеные;30.3;14.3;9.0;286.0
Вешенки свежие;2.5;0.3;6.5;3.8
Грузди свежие;1.8;0.5;0.8;16.0
Лисички;1.5;1.0;1.0;19.0
Опята;2.2;1.2;0.5;22.0
Подберезовики;2.1;0.8;1.2;20.0
Подберезовики сушеные;23.5;9.2;14.3;231.0
Подосиновики;3.3;0.5;1.2;22.0
Подосиновики сушеные;35.4;5.4;33.2;315.0
Сморчки;1.7;0.3;4.2;27.0
Сыроежки;1.7;0.7;1.5;19.0
Шампиньоны;4.3;1.0;0.1;27.0
Икра баклажанная;1.7;13.3;5.1;148.0
Икра кабачковая;1.2;7.0;7.4;97.0
Горошек зеленый;3.1;0.2;6.5;40.0
Кукуруза сладкая;2.0;0.0;11.0;64.0
Огурцы маринованные;0.8;0.0;1.3;16.0
Помидоры маринованные;0.5;0.1;2.1;10.0
Свекла;0.9;0.0;5.4;31.0
