Продукт;Белки;Жиры;Углеводы;Каллории
Абрикосовый сок;0.5;0.0;9.0;38.0
Ананасовый;0.3;0.1;11.4;48.0
Апельсиновый;0.7;0.1;8.1;36.0
Березовый;0.1;0.0;5.8;24.0
Виноградный;0.3;0.0;14.0;54.0
Гранатовый;0.3;0.1;14.2;56.0
Грейпфрутовый;0.3;0.1;6.5;29.0
Грушевый;0.4;0.0;11.0;45.0
Лаймовый, свежевыжатый;0.4;0.1;8.0;25.0
Лимонный, свежевыжатый;0.35;0.24;6.6;22.0
Манго сок;0.0;0.0;13.5;54.0
Мандариновый;0.8;0.0;8.1;35.0
Морковный;1.1;0.1;6.4;33.0
Персиковый;0.3;0.0;9.5;39.0
Томатный;1.0;0.1;2.9;18.0
Тыквенный;0.0;0.0;9.0;38.0
Яблочный;0.4;0.1;9.8;42.0
7up;0.0;0.0;8.7;38.0
Квас "Очаковский";0.0;0.0;5.5;30.0
Квас хлебный;0.2;0.0;5.2;27.0
Кока-кола;0.0;0.0;10.4;42.0
Кофе черный зерновой без сахара;0.2;0.5;0.3;7.0
Кофе с молоком и сахаром;0.7;1.0;11.2;58.0
Лимонад;0.0;0.0;6.4;26.0
Пепси;0.0;0.0;8.7;38.0
Пиво безалкагольное;0.0;0.0;4.1;22.0
Тоник;0.0;0.0;8.3;34.0
Фанта;0.0;0.0;11.7;48.0
Цикорий растворимый;0.1;0.0;2.8;11.0
Чай зеленый;0.0;0.0;0.0;0.0
Чай черный без сахара;0.1;0.0;0.0;0.0
Чай черный с сахаром;0.1;0.0;7.0;28.0
Чай черный с молоком и сахаром;0.7;0.8;8.2;43.0
