Продукт;Белки;Жиры;Углеводы;Каллории
Хлеб пшеничный из муки высшего сорта;7.5;0.8;49.2;235.0
Хлеб пшеничный из муки 1 сорта;7.6;0.9;49.7;226.0
Хлеб из ржано-пшеничной муки;6.8;1.2;46.4;215.0
Хлеб ржаной;4.7;0.7;49.8;214.0
Хлеб "Бородинский";6.9;1.3;40.9;208.0
Хлеб зерновой (мука пшеничная в/с, зерно дробленое);8.6;1.4;45.1;228.0
Хлеб цельнозерновой из смеси злаков;13.3;4.2;43.3;265.0
Хлебцы Dr.Körner "Семь злаков";10.0;2.0;57.0;290.0
Хлебцы Dr.Körner "Бородинские";11.0;3.0;52.0;280.0
Хлебцы Dr.Körner "Гречневые" с витаминами;11.6;3.0;52.4;283.0
Хлебцы Dr.Körner "Рисовые" с витаминами;6.0;1.0;69.0;310.0
Сдоба;7.4;2.2;52.9;269.0
Сухари из пшеничной муки;11.2;1.4;72.4;331.0
Мука пшеничная из твердых сортов в/с;10.8;1.3;69.9;334.0
Мука пшеничная в/с;10.3;1.1;70.6;334.0
Мука пшеничная 1 сорта;10.6;1.3;69.0;330.0
Мука пшеничная 2 сорта;11.6;1.8;64.8;322.0
Мука пшеничная обойная;11.5;2.2;61.5;312.0
Мука ржаная сеяная;6.9;1.4;66.3;305.0
Мука ржаная обдирная;8.9;1.7;61.8;298.0
Мука ржаная обойная;10.7;1.9;58.5;294.0
Макаронные изделия из муки твердых сортов в/с;11.0;1.3;70.5;338.0
Макаронные изделия из муки твердых сортов в/с, вареные;3.6;0.4;20.0;98.0
Макаронные изделия в/с;10.4;1.1;69.7;337.0
Макаронные изделия в/с,вареные;3.5;0.4;23.2;112.0
Крупа гречневая ядрица;12.6;3.3;57.1;308.0
Гречка вареная;4.1;1.0;18.5;100.0
Гречневый продел;9.5;2.3;60.4;300.0
Гречка зеленая ("Мистраль");13.4;3.0;68.0;328.0
Рис белый шлифованный;7.0;1.0;74.0;333.0
Рис белый шлифованныйвареный;2.3;0.2;28.7;130.0
Рис длиннозерный нешлифованный;7.5;2.0;73.0;340.0
Рис нешлифованный вареный;2.5;0.9;23.0;112.0
Рис красный нешлифованный;7.5;3.0;68.0;330.0
Рис дикий черный (цицания водная);14.7;1.1;68.7;357.0
Рис дикий черный вареный;4.0;0.3;19.5;101.0
Пшено;11.5;3.3;66.5;342.0
Пшено вареное;3.5;1.1;23.6;119.0
Крупа овсяная;12.3;6.1;59.5;342.0
Овсяные хлопья;12.3;6.2;61.8;352.0
Каша из овсяных хлопьев на воде;3.0;1.7;15.0;88.0
Каша из овсяных хлопьев на молоке;3.2;4.1;14.2;102.0
Толокно овсяное;12.5;6.0;64.9;363.0
Перловая крупа;9.3;1.1;66.9;315.0
Перловая крупа вареная;3.1;0.4;22.2;109.0
Ячневая крупа;10.0;1.3;65.4;313.0
Ячневая крупа вареная;2.3;0.3;15.7;76.0
Крупа пшеничная "Полтавская";11.5;1.3;67.9;329.0
Крупа пшеничная "Полтавская"вареная;2.5;0.3;14.5;71.0
Кукуруза, зерно продовольственное;10.3;4.9;60.0;325.0
Кукурузная крупа;8.3;1.2;71.0;328.0
Манная крупа;10.3;1.0;70.6;333.0
Манная каша на воде;2.5;0.2;16.8;80.0
Манная каша на молоке;3.0;3.2;15.3;98.0
Горох зерно;20.5;2.0;49.5;298.0
Горох целый шлифованный;22.0;2.0;57.0;330.0
Горох колотый;23.0;1.6;48.1;299.0
Горох вареный;8.3;0.4;21.0;118.0
Горошек зеленый свежий;5.0;0.2;8.3;55.0
Маш;23.9;1.2;62.6;347.0
Маш вареный;7.0;0.4;19.2;105.0
Нут;20.5;4.3;63.0;360.0
Нут вареный;8.9;2.6;27.4;164.0
Соя зерно;36.7;17.8;17.3;364.0
Соевые бобы;36.4;19.9;30.1;446.0
Соевые бобы вареные;16.6;8.9;9.9;173.0
Фасоль обыкновенная красная, все виды;23.5;0.8;60.0;333.0
Фасоль красная вареная;8.7;0.5;22.8;127.0
Фасоль стручковая;2.5;0.3;3.0;23.0
Чечевица;24.6;1.1;63.4;352.0
Чечевица вареная;9.0;0.4;20.1;116.0
Чечевица красная;21.6;1.1;48.0;314.0
Чечевица красная колотая персидская ("Мистраль");24.7;1.2;62.5;328.0
Амарант крупа;13.6;7.0;58.6;371.0
Амарант вареный;3.8;1.6;16.6;102.0
Киноа крупа;14.1;6.1;57.2;368.0
Киноа вареная;4.4;1.9;18.5;120.0
